feature        | value                 | precision | recall | fbeta
---------------+-----------------------+-----------+--------+------
workclass      | Private               | 0.736     | 0.638  | 0.684
workclass      | State-gov             | 0.750     | 0.699  | 0.723
workclass      | Self-emp-not-inc      | 0.703     | 0.497  | 0.582
workclass      | Self-emp-inc          | 0.759     | 0.746  | 0.752
workclass      | Federal-gov           | 0.797     | 0.786  | 0.791
workclass      | Local-gov             | 0.750     | 0.682  | 0.714
workclass      | ?                     | 0.680     | 0.405  | 0.507
workclass      | Without-pay           | 1.000     | 1.000  | 1.000
education      | Some-college          | 0.673     | 0.534  | 0.596
education      | HS-grad               | 0.646     | 0.423  | 0.511
education      | Bachelors             | 0.757     | 0.733  | 0.745
education      | Masters               | 0.826     | 0.850  | 0.838
education      | Assoc-acdm            | 0.711     | 0.574  | 0.635
education      | 7th-8th               | 1.000     | 0.000  | 0.000
education      | 11th                  | 1.000     | 0.273  | 0.429
education      | Assoc-voc             | 0.654     | 0.540  | 0.591
education      | Prof-school           | 0.816     | 0.952  | 0.879
education      | 9th                   | 1.000     | 0.333  | 0.500
education      | 5th-6th               | 1.000     | 0.500  | 0.667
education      | 10th                  | 0.500     | 0.250  | 0.333
education      | Doctorate             | 0.850     | 0.895  | 0.872
education      | 12th                  | 1.000     | 0.400  | 0.571
education      | 1st-4th               | 1.000     | 1.000  | 1.000
education      | Preschool             | 1.000     | 1.000  | 1.000
marital-status | Divorced              | 0.778     | 0.340  | 0.473
marital-status | Married-civ-spouse    | 0.732     | 0.692  | 0.711
marital-status | Never-married         | 0.815     | 0.427  | 0.561
marital-status | Separated             | 1.000     | 0.421  | 0.593
marital-status | Widowed               | 1.000     | 0.158  | 0.273
marital-status | Married-spouse-absent | 1.000     | 0.250  | 0.400
marital-status | Married-AF-spouse     | 1.000     | 0.000  | 0.000
occupation     | Adm-clerical          | 0.639     | 0.479  | 0.548
occupation     | Exec-managerial       | 0.798     | 0.746  | 0.771
occupation     | Machine-op-inspct     | 0.571     | 0.426  | 0.488
occupation     | Craft-repair          | 0.664     | 0.492  | 0.565
occupation     | Prof-specialty        | 0.780     | 0.768  | 0.774
occupation     | Sales                 | 0.726     | 0.677  | 0.701
occupation     | Handlers-cleaners     | 0.667     | 0.333  | 0.444
occupation     | Other-service         | 0.714     | 0.192  | 0.303
occupation     | Protective-serv       | 0.706     | 0.571  | 0.632
occupation     | Priv-house-serv       | 1.000     | 1.000  | 1.000
occupation     | Transport-moving      | 0.609     | 0.438  | 0.509
occupation     | ?                     | 0.680     | 0.405  | 0.507
occupation     | Farming-fishing       | 0.545     | 0.214  | 0.308
occupation     | Tech-support          | 0.720     | 0.706  | 0.713
occupation     | Armed-Forces          | 1.000     | 1.000  | 1.000
relationship   | Not-in-family         | 0.800     | 0.404  | 0.537
relationship   | Wife                  | 0.719     | 0.678  | 0.698
relationship   | Husband               | 0.733     | 0.695  | 0.713
relationship   | Unmarried             | 0.917     | 0.244  | 0.386
relationship   | Own-child             | 1.000     | 0.176  | 0.300
relationship   | Other-relative        | 1.000     | 0.375  | 0.545
race           | White                 | 0.737     | 0.637  | 0.683
race           | Black                 | 0.741     | 0.615  | 0.672
race           | Other                 | 1.000     | 0.667  | 0.800
race           | Asian-Pac-Islander    | 0.786     | 0.710  | 0.746
race           | Amer-Indian-Eskimo    | 0.600     | 0.600  | 0.600
sex            | Female                | 0.726     | 0.511  | 0.599
sex            | Male                  | 0.741     | 0.661  | 0.699
native-country | United-States         | 0.736     | 0.632  | 0.680
native-country | Mexico                | 1.000     | 0.333  | 0.500
native-country | Puerto-Rico           | 0.833     | 0.833  | 0.833
native-country | El-Salvador           | 1.000     | 1.000  | 1.000
native-country | ?                     | 0.733     | 0.710  | 0.721
native-country | Columbia              | 1.000     | 1.000  | 1.000
native-country | Poland                | 0.667     | 1.000  | 0.800
native-country | Cambodia              | 1.000     | 1.000  | 1.000
native-country | Germany               | 0.818     | 0.692  | 0.750
native-country | Philippines           | 1.000     | 0.688  | 0.815
native-country | Canada                | 0.700     | 0.875  | 0.778
native-country | Ecuador               | 1.000     | 0.500  | 0.667
native-country | Italy                 | 0.750     | 0.750  | 0.750
native-country | Cuba                  | 0.667     | 0.800  | 0.727
native-country | Iran                  | 0.333     | 0.200  | 0.250
native-country | Jamaica               | 1.000     | 1.000  | 1.000
native-country | Haiti                 | 1.000     | 1.000  | 1.000
native-country | South                 | 0.333     | 0.500  | 0.400
native-country | Taiwan                | 0.750     | 0.750  | 0.750
native-country | Dominican-Republic    | 1.000     | 1.000  | 1.000
native-country | Ireland               | 1.000     | 1.000  | 1.000
native-country | Japan                 | 0.750     | 0.750  | 0.750
native-country | Scotland              | 1.000     | 1.000  | 1.000
native-country | India                 | 0.875     | 0.875  | 0.875
native-country | Trinadad&Tobago       | 1.000     | 1.000  | 1.000
native-country | Hungary               | 1.000     | 0.500  | 0.667
native-country | England               | 0.667     | 0.500  | 0.571
native-country | Laos                  | 1.000     | 0.000  | 0.000
native-country | Hong                  | 0.500     | 1.000  | 0.667
native-country | Greece                | 0.000     | 0.000  | 0.000
native-country | Portugal              | 1.000     | 1.000  | 1.000
native-country | Guatemala             | 1.000     | 1.000  | 1.000
native-country | China                 | 1.000     | 1.000  | 1.000
native-country | France                | 1.000     | 1.000  | 1.000
native-country | Nicaragua             | 1.000     | 1.000  | 1.000
native-country | Vietnam               | 1.000     | 1.000  | 1.000
native-country | Thailand              | 1.000     | 1.000  | 1.000
native-country | Peru                  | 0.000     | 0.000  | 0.000
native-country | Honduras              | 1.000     | 1.000  | 1.000
native-country | Yugoslavia            | 1.000     | 1.000  | 1.000
